content,keyword,time
智障少女勇闯负情商“于”乐圈儿,云巅之上2,2017-04-04
标记,云巅之上2,2017-09-06
"逃不出的玛丽苏，离不了槽点。
三星给白发苍苍欧阳导演说的一句话“就是因为你们老糊弄观众。等这帮孩子长大了，回想青春期看过的电影，肯定恨不得一巴掌抽晕过去。”
嗯，不错，关爱下一代，少拍烂片。",云巅之上2,2017-04-05
看出了袁姗姗的演技，不演古装大美女以后戏路终于对了。,云巅之上2,2017-02-28
么么哒，前两年很diss于正，这两年觉得最起码于正是把剧往编剧中心制上引,云巅之上2,2017-03-06
一直觉得陈晓是帅的,云巅之上2,2017-03-12
真的还挺好看的。陈晓的演技很好，非常苏。,云巅之上2,2017-03-12
服化道都挺雷的，剧情神兽，然而陈晓很帅。,云巅之上2,2017-05-21
剧情低幼，人物造型也一般，但冲着娱乐圈题材，我会追下去。,云巅之上2,2017-02-27
陈晓好帅,云巅之上2,2017-06-12
还不错,云巅之上2,2017-03-31
故事挺折射现实的，但是演员演技太浮。,云巅之上2,2017-03-07
有毒，看完了。觉得后面越来越喜欢左左,云巅之上2,2017-04-09
陈晓的颜值和演技支撑我看下去,云巅之上2,2017-03-26
还是能知道一些娱乐圈的事情,云巅之上2,2017-03-05
演技不够 解说来凑 我是来看陈晓和规则的,云巅之上2,2017-05-30
剧情虽然。。。。但是陈晓好苏啊 是自己的原音吗,云巅之上2,2017-03-05
很假，又假又low,云巅之上2,2017-08-30
也就那样吧，能看，但不能看完。一开始还行吧，到后来就越来越狗血,云巅之上2,2018-02-23
。。。,云巅之上2,2017-04-02
终于撸完了n个重复轮回的故事，1.5星给033陈晓，0.5星给岳乐安心，1星给题材,云巅之上2,2017-04-01
还不错，想看第二部，有点像娱乐圈文。,云巅之上2,2017-03-21
袁姗姗用这部戏又把自己往招黑的方向推了一步，可能对于妈是真爱。表演课在椅子上沾胶水？这是成年人的撕逼方式？珊珊这么幼齿的戏你也敢接，看本子的时候长点心吧,云巅之上2,2017-06-01
啧。不敢相信自己快进着撸完了。,云巅之上2,2017-03-04
不喜欢那谁，但是我感觉陈晓不错啊，想给三星，但是看到那谁还是算了吧,云巅之上2,2017-03-05
听剧情描述觉得和一般的娱乐圈文挺像的，但看不下去，挺恶心的，陈晓陆贞那会多棒，要是离开于正多好，为什么不能离开于正,云巅之上2,2017-03-12
"缺点：演员那么好当啊，导演除了说换人就不会说其他了吗？
优点：戏中戏；这种题材第一部；看了之后再看其他电视剧，突然就感觉豁然了；",云巅之上2,2017-04-23
游走于现实与梦幻之间，总是会有王子出现，生活也总是会有转机… 后半部分一口气看完，好人变坏人，坏人变好人。其实人的心真的挺难把握，一不小心就会走火入魔。话说最后的结尾真是。。。能不能好好正常的做个3d效果。。。 1毛效果,云巅之上2,2017-03-19
很浮夸，两位主演演技并没有吹的那么好……,云巅之上2,2017-06-09
什么鬼啊！配音尴尬死,云巅之上2,2017-03-09
如此套路，演得还如此假，看了一集果断弃剧！,云巅之上2,2017-03-06
看了几集，不错。没有特别喜欢，也没有讨厌。,云巅之上2,2017-06-16
